Espacialidades;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;mortalidade;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23
Hidrolândia;0,51;75,34;64,69;97,71;97,68;31,29;21,49;51,74;52;19325;22,3;2,5;63;11;64,93;48;111,48;95,6;30,19;9,38;243,41;25,49;38,21;37,94
Horizonte;0,42;93,98;81,06;94,84;99,56;33,45;29,02;29,83;60;55187;20,1;1,94;48,38;5,23;50,76;40;105,03;91,49;15,65;9,29;322,78;7,51;10,64;34,36
Ibaretama;0,55;17,04;14,51;90,98;98,42;34,4;24,22;50,27;47;12922;25;2,65;59,95;8,23;76,18;53;103,39;91,78;34,67;8,86;199,63;34,72;47,56;31,36
Ibiapina;0,47;81,04;76,05;93,47;99,3;24,78;16,46;46,43;56;23808;23,5;2,45;60,23;8,96;61,22;44;111,49;94,29;25,48;9,94;258,57;15,06;23,25;38,24
Ibicuitinga;0,52;75,54;64,09;92,74;98,15;32,67;20,2;36,95;45;11335;25;2,2;51,09;8,49;46,97;55;104,83;92,83;29,34;9,94;196,54;31,29;41,85;33,08
Icapuí;0,47;85,41;77,25;95,29;98,8;22,15;26,08;43,27;47;18392;25,2;1,93;45,53;6,57;58,69;53;113,12;93,39;26,07;8,66;280,79;13,7;20,99;40,98
Icó;0,55;78,49;66,17;93,17;99,46;37,11;18,55;42,4;61;65456;30;2,06;54,16;8,82;57,42;39;109,64;91,59;32,83;9;274,01;24,65;36,48;30,36
Iguatu;0,54;87,24;83,52;96,32;99,83;29,73;17,57;34,87;58;96495;17,2;1,94;48,39;8,95;50,6;42;105,27;91,89;23,36;9,49;434,67;10,86;17,66;34,78
Independência;0,55;66,52;52,24;91,47;99,47;31,31;15,26;40,59;47;25573;25;2,15;55,26;10,41;57,27;53;109,36;94,3;28,74;9,92;262,34;28,13;41,38;36,23
Ipaporanga;0,55;82,55;68,5;88,2;97,66;30,2;18,93;50,04;44;11343;23,8;2,66;63,23;11,22;57,13;56;105,93;93,32;34,29;9,79;182,11;42,11;59,56;29,5
Ipaumirim;0,63;77,76;69,73;96,11;99,38;36,4;17,07;45,15;47;12009;30,5;2,02;56,94;10,68;60,59;53;113,36;92,1;27,32;8,91;380,61;18,95;29,91;39,76
Ipu;0,56;82,05;66,72;87,78;99,13;31,78;30,91;46,05;45;40296;24,5;2,33;60,37;10,2;65,2;55;110;93,11;28,13;8,82;301,38;21,08;31,67;37,4
Ipueiras;0,56;89,16;69,23;83;99,43;32,15;32,57;52,78;47;37862;29,2;2,41;64,59;9,73;66,52;53;108,87;95,18;32,03;9,61;222,22;33,07;46,98;33,36
Iracema;0,55;76,05;67,87;94,1;99,63;29,49;17,8;30,39;32;13722;29,7;1,91;51,83;9,51;44,95;68;99,68;94,38;26,59;10,38;328,61;18,59;26,92;34,33
Irauçuba;0,61;76,14;52,36;92,51;94,5;40,31;32,57;37,23;59;22324;25,6;2,38;62,24;7,46;63,7;41;104,04;92,54;28,01;10,24;211,75;35,65;45,64;26,06
